blender_frame,anchor_code,cluster_id,substrate,config_count,target_extL,target_extA,target_extB,max_dE,build
51,anchor_50,50,Clear,12,49.03,-0.96,-7.12,1.0182,ZEN Clear 6mm / Vacuum 0.25mm / Clear 5mm
52,anchor_51,51,Clear,4,49.45,-2.62,-8.36,0.0613,C180 Clear 6mm / Ar90 7.45mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
53,anchor_52,52,Clear,64,49.49,-2.88,-3.49,0.7931,C180 Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.08mm / SB60 Clear 5mm
54,anchor_53,53,Clear,32,49.67,-1.23,-4.9,0.6383,C180 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C366 Clear 5mm
55,anchor_54,54,Clear,20,49.92,-3.22,-5.25,0.8122,C180 Clear 5mm / Ar90 12.65mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm
56,anchor_55,55,Clear,32,50.69,-5.87,-2.92,0.5294,C180 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm
57,anchor_56,56,Clear,69,51.32,-3.47,-6.29,1.2942,C180 Clear 4mm / Ar90 13.36mm / SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm
58,anchor_57,57,Clear,94,51.49,-1.59,-7.14,1.0638,ZEN Clear 5mm / Ar90 10.76mm / SB60 Clear 5mm / Vacuum 0.25mm / Clear 5mm
59,anchor_58,58,Clear,64,52.29,-2.15,-5.06,0.7637,ZEN Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.24mm / SB60 Clear 4mm
60,anchor_59,59,Clear,58,52.3,-0.84,-6.37,0.9291,ZEN Clear 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.45mm / C366 Clear 5mm
61,anchor_60,60,Clear,84,52.39,-2.7,-6.68,1.0722,ZEN Clear 6mm / Ar90 9.75mm / C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm
62,anchor_61,61,Clear,4,52.41,-1.94,-9.47,0.0531,ZEN Clear 6mm / Ar90 7.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
63,anchor_62,62,Clear,46,53.13,-5.1,-4.57,1.054,ZEN Clear 6mm / Ar90 7.75mm / Clear 6mm / Vacuum 0.25mm / C270 Clear 6mm
64,anchor_63,63,Clear,38,53.46,-3.93,-7.63,0.9623,SBR67 Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.6mm / C180 Clear 4mm
65,anchor_64,64,Clear,36,54.0,-2.28,-7.83,1.0156,ZEN Clear 6mm / Ar90 11.25mm / Clear 4mm / Vacuum 0.25mm / SB70 Clear 4mm
66,anchor_65,65,Clear,52,54.53,-1.6,-7.97,0.8919,ZEN Clear 6mm / Ar90 11.35mm / Clear 4mm / Vacuum 0.25mm / C180 Clear 4mm
67,anchor_66,66,Optiblue,3,33.4,-0.35,-5.1,0.1333,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 5mm
68,anchor_67,67,Optiblue,112,36.03,-0.28,-5.48,1.0198,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.6mm / C366 Clear 4mm
69,anchor_68,68,Optiblue,20,36.51,-1.32,-6.86,1.027,SB60 Optiblue 6mm / Ar90 7.49mm / Clear 6mm / Vacuum 0.25mm / SKN183 Clear 6mm
70,anchor_69,69,Optiblue,28,36.71,-3.7,-3.91,1.163,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.01mm / C270 Clear 6mm
71,anchor_70,70,Optiblue,62,36.73,-1.29,-4.3,1.1135,SB60 Optiblue 5mm / Ar90 11.08mm / Clear 5mm / Vacuum 0.25mm / C272 Clear 5mm
72,anchor_71,71,Optiblue,116,37.38,-0.59,-7.68,1.35,SB60 Optiblue 6mm / Ar90 9.09mm / Clear 6mm / Vacuum 0.25mm / C180 Clear 5mm
73,anchor_72,72,Optiblue,14,38.83,-3.67,-6.41,1.3303,SB70 Optiblue 6mm / Ar90 11.69mm / Clear 4mm / Vacuum 0.25mm / C270 Clear 4mm
74,anchor_73,73,Optiblue,72,39.24,-2.12,-6.65,1.3791,SB70 Optiblue 5mm / Ar90 11.08mm / Clear 5mm / Vacuum 0.25mm / C272 Clear 5mm
75,anchor_74,74,Optiblue,56,39.3,-1.53,-8.87,1.2797,SB70 Optiblue 6mm / Ar90 8.09mm / Clear 6mm / Vacuum 0.25mm / C180 Clear 6mm
76,anchor_75,75,Optiblue,24,40.55,-2.38,-8.29,0.8887,SB70 Optiblue 5mm / Ar90 12.58mm / Clear 4mm / Vacuum 0.25mm / SB70 Clear 4mm
77,anchor_76,76,Optigray,3,33.03,-0.93,-1.89,0.138,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 5mm
78,anchor_77,77,Optigray,64,35.2,-1.16,-2.49,0.8899,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 9.77mm / LUMI Clear 5mm
79,anchor_78,78,Optigray,40,35.29,-1.99,-1.01,0.939,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C272 Clear 5mm
80,anchor_79,79,Optigray,4,35.5,-1.47,-4.27,0.0431,SB60 Optigray 6mm / Ar90 7.49mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
